# massnumber, rigidity, px, py, pz, Nparticles, label
1.000000000000000000e+00 8.709635899560832205e+19 -8.177527936629200855e-01 4.833467890205642159e-01 -3.125000000000000000e-01 2.398588505057693339e-29 2.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000164e+20 -5.718124289575223784e-01 8.089870389610380463e-02 -8.163859049479167407e-01 8.508225440277776725e-26 0.000000000000000000e+00
1.000000000000000000e+00 3.019951720402019123e+19 -8.151577349677028295e-01 3.855408954350754702e-01 -4.322916666666666297e-01 7.592229046331742185e-07 4.000000000000000000e+00
2.800000000000000000e+01 1.709393186866564608e+18 8.026735382049809964e-01 -5.953032680878314054e-01 -3.645833333333332871e-02 6.706816883650007499e-02 0.000000000000000000e+00
1.000000000000000000e+00 5.754399373371590246e+19 -8.190590730479849757e-01 4.909251157078600714e-01 -2.968750000000000000e-01 2.563282190792591209e-18 2.000000000000000000e+00
1.000000000000000000e+00 4.365158322401665024e+19 -8.165029877690787030e-01 4.559482900356025548e-01 -3.541666666666666297e-01 1.427438031216490373e-09 2.000000000000000000e+00
1.000000000000000000e+00 5.754399373371590246e+19 -8.153917918319704139e-01 4.619137445565686395e-01 -3.489583333333333148e-01 3.096678871696463889e-18 2.000000000000000000e+00
1.000000000000000000e+00 1.096478196143182807e+20 -8.084974529266606424e-01 5.050520055730145508e-01 -3.020833333333333148e-01 1.339283986185338923e-31 2.000000000000000000e+00
1.400000000000000000e+01 2.258769757263128064e+18 2.096003780542354256e-01 2.096003780542354533e-01 -9.550577799479166297e-01 5.160420422485590547e-02 2.000000000000000000e+00
1.000000000000000000e+00 4.365158322401665024e+19 -8.478322745322229848e-01 3.946471924184176694e-01 -3.541666666666666297e-01 2.999814944041522191e-14 4.000000000000000000e+00
1.000000000000000000e+00 8.709635899560832205e+19 -8.293470952265018514e-01 4.765647397730123913e-01 -2.916666666666666297e-01 8.592994299941047879e-23 2.000000000000000000e+00
1.000000000000000000e+00 1.445439770745927926e+20 -5.726710621558258607e-01 1.090486339635591967e-01 -8.125000000000000000e-01 1.038119914785132554e-31 0.000000000000000000e+00
1.000000000000000000e+00 7.244359600749890765e+19 -8.376870876016452305e-01 4.882185813711202305e-01 -2.447916666666666574e-01 4.376965328432288953e-22 2.000000000000000000e+00
1.000000000000000000e+00 1.258925411794171290e+19 -5.221078258711550069e-01 4.696921898672379303e-01 -7.118937174479167407e-01 5.808393346917632878e-03 2.000000000000000000e+00
1.000000000000000000e+00 6.918309709189361664e+19 -8.263210117234895957e-01 4.614308311905018223e-01 -3.229166666666666297e-01 3.110537028979011620e-20 2.000000000000000000e+00
1.000000000000000000e+00 8.317637711026742272e+18 -9.336826482571838337e-01 -8.040394232047458345e-02 -3.489583333333333148e-01 4.480750150127486842e-02 4.000000000000000000e+00
1.000000000000000000e+00 8.709635899560832205e+19 -8.311638683032722685e-01 4.912736342908737286e-01 -2.604166666666666297e-01 7.842819677439469477e-20 2.000000000000000000e+00
1.300000000000000000e+01 3.062362850411527680e+18 -9.230535999423809812e-02 3.949767834879702177e-01 -9.140421549479166297e-01 3.563402793532398360e-02 4.000000000000000000e+00
1.000000000000000000e+00 1.318256738556410102e+20 -7.976675217656746808e-01 5.189396461221952306e-01 -3.072916666666666297e-01 1.811265339325455876e-29 2.000000000000000000e+00
1.000000000000000000e+00 7.244359600749890765e+19 -8.439717161976394433e-01 4.849684331451893371e-01 -2.291666666666666574e-01 6.715936224047392637e-33 2.000000000000000000e+00
1.000000000000000000e+00 9.549925860214369485e+19 -8.437703236788279826e-01 4.247182892858816228e-01 -3.281250000000000000e-01 7.982785079970776900e-24 2.000000000000000000e+00
4.000000000000000000e+00 4.763651794908130304e+18 -3.739425459670521201e-01 4.612764510675534946e-01 -8.046061197916667407e-01 3.470404761127810628e-02 2.000000000000000000e+00
1.000000000000000000e+00 9.120108393559115366e+19 -7.947950188848063036e-01 5.170708780104095181e-01 -3.177083333333333148e-01 2.309479366772784900e-33 2.000000000000000000e+00
1.000000000000000000e+00 2.290867652767770214e+19 -7.349141959738022534e-01 4.404906173020940452e-01 -5.156250000000000000e-01 3.806671004350853848e-05 2.000000000000000000e+00
3.000000000000000000e+00 2.903211966520277504e+18 2.065601618216517943e-01 2.691944439041619730e-01 -9.406738281250000000e-01 4.162173928852459792e-02 2.000000000000000000e+00
1.300000000000000000e+01 1.336769868268745472e+18 9.775976259362005871e-01 -3.000173305205128260e-02 -2.083333333333333148e-01 5.396730616939652420e-02 2.000000000000000000e+00
1.000000000000000000e+01 1.318256738556410368e+18 8.285193328730012796e-01 2.183725587858439121e-01 5.156250000000000000e-01 5.355545491680403780e-02 2.000000000000000000e+00
4.000000000000000000e+00 2.500000000000000000e+18 3.520769079165908533e-01 2.352502687745461063e-01 -9.059244791666666297e-01 1.414798858568848960e-01 2.000000000000000000e+00
1.000000000000000000e+00 6.025595860743593165e+19 -8.171165594515263919e-01 4.239488620636929217e-01 -3.906250000000000000e-01 1.448846880638089780e-23 4.000000000000000000e+00
1.400000000000000000e+01 3.264915640106251264e+18 1.119132587066018897e-01 -2.481057213423216307e-02 -9.934082031250000000e-01 3.603678543859703542e-02 0.000000000000000000e+00
4.000000000000000000e+00 5.727169131919425536e+18 4.794962324159052769e-01 -4.262484572010539763e-01 7.670694986979167407e-01 2.457325913539384898e-02 1.000000000000000000e+00
1.000000000000000000e+00 6.309573444801943962e+19 -8.530612471923330054e-01 4.098918576009408787e-01 -3.229166666666666297e-01 6.673149003425034697e-25 2.000000000000000000e+00
1.000000000000000000e+00 9.549925860214369485e+19 -8.445985272484471951e-01 4.648620087130739265e-01 -2.656250000000000000e-01 6.715936224047392637e-33 2.000000000000000000e+00
4.000000000000000000e+00 3.450960661507216384e+18 -4.576748995437603384e-01 3.431538961645596575e-01 -8.202311197916667407e-01 9.589599280957097904e-02 4.000000000000000000e+00
1.000000000000000000e+00 8.709635899560832205e+19 -8.632341556972848995e-01 4.082793489910990781e-01 -2.968750000000000000e-01 1.792559109602807536e-26 2.000000000000000000e+00
1.000000000000000000e+00 7.244359600749890765e+19 1.296546795464657564e-01 -2.936398564058406713e-01 9.470825195312500000e-01 2.750281588249710038e-15 1.000000000000000000e+00
1.000000000000000000e+00 6.025595860743593165e+19 -8.047442169040290860e-01 4.558819678638428297e-01 -3.802083333333333148e-01 9.107484398825137058e-16 2.000000000000000000e+00
1.000000000000000000e+00 5.754399373371590246e+19 -8.293684258155117339e-01 4.631325558199295145e-01 -3.125000000000000000e-01 2.968557103231315663e-16 2.000000000000000000e+00
1.200000000000000000e+01 3.637631935334721024e+18 8.042193275425043586e-01 -4.955454142478589175e-01 3.281250000000000000e-01 3.120914039215349350e-02 1.000000000000000000e+00
1.400000000000000000e+01 2.593414676929287680e+18 3.365777762907151693e-01 -2.263677085747127227e-01 -9.140421549479166297e-01 4.851133953150536804e-02 0.000000000000000000e+00
1.000000000000000000e+00 1.202264434617418056e+20 -5.895233628813214555e-01 7.121233468224295871e-02 -8.046061197916667407e-01 5.041194454426482146e-27 0.000000000000000000e+00
1.000000000000000000e+00 1.819700858609990246e+19 -3.352705719737926193e-01 8.302753459976122685e-02 -9.384562174479166297e-01 4.504488976217873317e-04 0.000000000000000000e+00
1.000000000000000000e+00 7.943282347242789274e+19 -7.839873332888650515e-01 5.169137246607157232e-01 -3.437500000000000000e-01 4.518205966891414516e-19 2.000000000000000000e+00
1.000000000000000000e+00 1.995262314968882790e+19 -6.658243952787290532e-01 4.448896375307819784e-01 -5.989583333333332593e-01 1.152354429326044570e-04 2.000000000000000000e+00
4.000000000000000000e+00 4.148967268593890816e+18 -4.606405933429407740e-01 4.539891012515506752e-01 -7.626953125000000000e-01 7.096447537907143999e-02 2.000000000000000000e+00
1.000000000000000000e+00 8.709635899560832205e+19 -8.676620644906914981e-01 4.169074806228676433e-01 -2.708333333333333148e-01 1.427432885209086774e-23 4.000000000000000000e+00
1.000000000000000000e+00 4.786300923226380698e+19 -8.084106125509386009e-01 4.579589553430580828e-01 -3.697916666666666297e-01 2.181381770680526435e-14 2.000000000000000000e+00
