# rigidity, px, py, pz, Nparticles, x0, y0, z0
1.380384264602886554e+19 6.378172214802406703e-01 -6.865983349677218239e-01 3.489583333333333148e-01 2.241124141064133993e-09 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
7.943282347242789274e+19 5.414580379439046798e-01 -8.103492198283976933e-01 2.239583333333333148e-01 4.804590416843849089e-56 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
2.884031503126611558e+19 6.109847228608114023e-01 -6.417373229714682381e-01 4.635416666666666297e-01 1.777358853918616982e-09 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
4.988155787422206976e+18 5.490391546520804189e-01 -2.531105171624459249e-01 -7.965494791666667407e-01 1.810493284845710537e-04 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
1.513561248436207206e+19 6.378172214802406703e-01 -6.865983349677218239e-01 3.489583333333333148e-01 9.729055430756246997e-10 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.995262314968882790e+19 5.244394127721779819e-01 -8.170453651542625151e-01 2.395833333333333148e-01 7.707093542101044788e-12 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
7.943282347242789274e+19 6.203379362948868714e-01 -6.127715761322675148e-01 4.895833333333333148e-01 4.522077877739110273e-44 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
7.210078757816528896e+18 4.582781925382315991e-01 -8.832827104091760528e-01 9.895833333333332871e-02 9.247929619057908236e-06 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.595433641075460014e+20 6.043179348428819875e-01 -6.117799114192317145e-01 5.104166666666666297e-01 1.953251489680977856e-88 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
6.309573444801943962e+19 5.371263967486773483e-01 -8.146432786292306938e-01 2.187500000000000000e-01 2.715591057832047297e-36 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
3.613599426864819712e+18 2.369721629973437493e-01 -9.712930382673308216e-01 2.083333333333333218e-02 1.879187907195661086e-03 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
1.905460717963252122e+19 6.397329283227173313e-01 -6.319300043672883005e-01 4.375000000000000000e-01 5.340085996947528886e-12 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
9.504734908014069760e+18 6.397329283227173313e-01 -6.319300043672883005e-01 4.375000000000000000e-01 5.986256800055808423e-07 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
3.019951720402019123e+19 6.376221118070465321e-01 -6.376221118070466432e-01 4.322916666666666297e-01 1.211453341447233424e-18 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.093880811974775767e+20 6.117799114192314924e-01 -6.043179348428822095e-01 5.104166666666666297e-01 2.859789666139651792e-63 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
